"sort_order","official_rank","player_name","team","total_points","matches","sets","attack_points","block_points","serve_points","season","competition","stat_table","source_url","accessed_date","notes","points_per_set","attack_points_per_set","block_points_per_set","serve_points_per_set","attack_share","block_share","serve_share","share_sum","archetype_1_prob","archetype_2_prob","archetype_3_prob","archetype_id","archetype_name","max_membership_probability"
21,21,"Takanashi Kenta","NIPPON STEEL SAKAI BLAZERS",371,38,127,330,25,16,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.92125984251969,2.59842519685039,0.196850393700787,0.125984251968504,0.889487870619946,0.0673854447439353,0.0431266846361186,1,0.999999999920673,7.93274585606965e-11,4.6048517857304e-63,1,"Volume Attackers",0.999999999920673
22,21,"Kudo Yuji","VC NAGANO TRIDENTS",371,38,126,310,30,31,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.94444444444444,2.46031746031746,0.238095238095238,0.246031746031746,0.835579514824798,0.0808625336927224,0.0835579514824798,1,0.999999982960547,1.70394534294767e-08,9.55083444354732e-51,1,"Volume Attackers",0.999999982960547
23,23,"Tomita Shoma","OSAKA BLUTEON",352,38,133,296,34,22,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.64661654135338,2.22556390977444,0.255639097744361,0.165413533834586,0.840909090909091,0.0965909090909091,0.0625,1,0.999999674415262,3.25584738049114e-07,1.771414905347e-51,1,"Volume Attackers",0.999999674415262
24,24,"Fujinaka Kenya","JTEKT STINGS AICHI",351,38,143,308,39,4,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.45454545454545,2.15384615384615,0.272727272727273,0.027972027972028,0.877492877492878,0.111111111111111,0.0113960113960114,1,0.999999534306969,4.65693031146189e-07,2.0898079003198e-63,1,"Volume Attackers",0.999999534306969
25,25,"Timo Tammemaa","VOREAS HOKKAIDO",348,38,141,232,87,29,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.46808510638298,1.64539007092199,0.617021276595745,0.205673758865248,0.666666666666667,0.25,0.0833333333333333,1,1.12128988446248e-22,1,9.90035282298207e-35,2,"Balanced Scorers",1
26,26,"Miwa Hiromasa","HIROSHIMA THUNDERS",304,38,133,219,71,14,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.28571428571429,1.64661654135338,0.533834586466165,0.105263157894737,0.720394736842105,0.233552631578947,0.0460526315789474,1,3.86640961124869e-15,0.999999999999996,6.39200891896443e-44,2,"Balanced Scorers",0.999999999999996
27,27,"Norbert Huber","WOLFDOGS NAGOYA",293,32,121,194,84,15,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.42148760330579,1.60330578512397,0.694214876033058,0.12396694214876,0.662116040955631,0.286689419795222,0.0511945392491468,1,2.86037631612816e-28,1,1.35158126375308e-41,2,"Balanced Scorers",1
28,28,"Tsai Peichang","NIPPON STEEL SAKAI BLAZERS",288,35,131,215,66,7,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.19847328244275,1.6412213740458,0.50381679389313,0.0534351145038168,0.746527777777778,0.229166666666667,0.0243055555555556,1,1.7563612151515e-12,0.999999999998244,1.42273287450681e-49,2,"Balanced Scorers",0.999999999998244
29,29,"Evbade-Dan Larry IK","OSAKA BLUTEON",280,38,123,202,58,20,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.27642276422764,1.64227642276423,0.471544715447154,0.16260162601626,0.721428571428571,0.207142857142857,0.0714285714285714,1,4.58567093973797e-12,0.999999999995414,1.4715960231775e-37,2,"Balanced Scorers",0.999999999995414
30,30,"Shigeto Tobiastakeshi","TORAY ARROWS SHIZUOKA",273,36,110,234,25,14,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.48181818181818,2.12727272727273,0.227272727272727,0.127272727272727,0.857142857142857,0.0915750915750916,0.0512820512820513,1,0.999999906283345,9.37166545147852e-08,3.60492216331473e-53,1,"Volume Attackers",0.999999906283345
