"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Ramsey","Entire home/apt",1,2,4,2,132,47,5,5,5,1,0,1,1,1.67979877193576,175
"Hennepin","Private room",1,1,2,30,365,74,4.97,4.96,4.97,0,0,1,1,3.03655005794029,60
"Dakota","Private room",1,1,2,25,180,37,4.97,4.95,4.86,0,0,1,1,14.6903345645382,150
"Ramsey","Private room",1,1,1,1,88,3,5,5,5,0,0,1,1,2.04124653115361,99
"Hennepin","Private room",1,1,2,1,112,228,4.9,4.96,4.89,0,0,1,1,1.95770136563194,35
"Hennepin","Private room",1,1,2,2,180,92,4.95,5,4.96,1,0,1,1,12.8193267157627,73
"Ramsey","Private room",1,1,4,2,217,258,4.98,4.99,4.97,1,0,1,1,3.80765581698887,71
"Ramsey","Entire home/apt",1,1,2,2,66,166,4.88,4.96,4.88,1,0,1,1,2.32731717362909,53
"Pierce","Entire home/apt",2,2,6,2,8,68,4.93,4.91,4.93,0,1,1,1,44.7964086876415,195
"Ramsey","Entire home/apt",1,1,2,3,350,134,4.81,4.78,4.97,0,0,1,1,1.5355603968133,85
"Hennepin","Entire home/apt",1,2,4,2,59,83,4.94,4.8,4.98,1,0,1,2,7.84146107922495,95
"Hennepin","Private room",1,1,4,1,223,328,4.85,4.9,4.9,1,0,1,3,3.90899583214882,50
"Ramsey","Entire home/apt",1,1,4,3,88,3,4.67,4.33,5,0,0,1,2,0.655834885661868,200
"Hennepin","Private room",1.5,1,1,1,364,159,4.86,4.76,4.96,1,0,1,1,4.04148503785138,55
"Hennepin","Entire home/apt",3,5,10,2,315,52,4.92,4.77,5,1,0,1,1,17.5258067824722,1250
"Ramsey","Private room",1,1,1,3,284,63,4.86,4.86,4.94,1,0,1,3,4.69224697246554,49
"Hennepin","Private room",2,1,2,1,171,179,4.95,4.87,4.97,1,0,1,3,9.73925386561599,40
"Hennepin","Entire home/apt",3.5,4,10,2,260,110,4.94,4.92,4.91,0,0,1,1,12.9525483435273,450
"Dakota","Entire home/apt",3.5,4,9,3,200,9,5,5,4.75,0,0,0,1,19.9803671814082,300
"Ramsey","Entire home/apt",1,2,3,2,294,159,4.98,4.99,4.96,1,0,1,1,3.46331054851201,145
"Washington","Entire home/apt",3,2,4,1,143,541,4.98,4.94,4.9,1,1,1,2,13.9420729683187,324
"Anoka","Entire home/apt",2.5,2,6,2,255,109,4.94,4.94,4.96,1,0,1,1,13.9684484026151,175
"Hennepin","Entire home/apt",3.5,4,6,2,364,9,4.44,3.67,4.56,0,0,1,1,15.0372021069702,400
"Carver","Entire home/apt",3,4,10,2,83,2,5,5,5,0,0,0,1,20.5787474105597,900
"Hennepin","Entire home/apt",1,2,4,2,73,34,5,4.97,4.97,1,0,0,1,5.66253929197096,125
"Hennepin","Entire home/apt",5,6,16,3,358,2,5,5,5,0,0,1,1,12.6634188270719,1250
"Hennepin","Entire home/apt",2,3,6,3,199,25,4.84,4.8,4.84,0,0,0,1,19.1806771545836,890
"Hennepin","Entire home/apt",1,2,4,3,328,150,4.94,4.96,4.97,1,0,1,1,3.30399668002286,137
"Hennepin","Private room",1,1,2,2,181,255,4.89,4.94,4.9,1,0,1,3,1.77856153207636,80
"Ramsey","Private room",1.5,1,1,3,35,20,4.9,5,4.9,1,0,1,6,4.41600906867025,60
"Carver","Entire home/apt",1,2,4,1,0,186,4.96,4.92,4.88,1,0,0,1,32.4815011642419,129
"Hennepin","Private room",2,1,2,3,208,67,4.99,4.99,4.94,0,0,1,3,2.09720422153663,67
"Anoka","Entire home/apt",2,4,8,2,261,96,4.84,4.85,4.93,1,0,1,1,18.25515253373,245
"Carver","Entire home/apt",4,6,12,3,57,10,5,4.9,4.9,0,1,0,1,20.4748962360067,475
"Hennepin","Entire home/apt",1.5,3,4,2,100,20,4.85,4.8,4.9,0,0,1,1,3.60196856083667,235
"Hennepin","Entire home/apt",1,2,4,3,171,20,5,5,5,1,0,1,1,3.88013138984145,115
"Hennepin","Private room",1,1,3,1,52,52,5,5,5,1,0,1,1,16.1875899838156,165
"Hennepin","Entire home/apt",1,1,2,30,90,24,4.96,4.87,4.65,0,0,1,1,1.96829639281487,125
"Hennepin","Entire home/apt",1,2,4,30,44,29,4.83,4.66,4.93,1,0,1,1,0.862518211514821,148
"Hennepin","Private room",1.5,2,4,30,363,7,4.86,4.57,5,0,0,1,4,16.9646663940118,155
"Hennepin","Entire home/apt",1,2,4,30,0,173,4.76,4.8,4.79,0,0,1,1,2.62718448628794,159
"Dakota","Private room",1,1,2,5,0,10,4.89,5,5,0,0,1,1,4.70201081446856,140
"Hennepin","Private room",1.5,1,2,30,365,19,4.89,4.74,5,0,0,1,4,16.9591320863373,61
