"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Washington","Entire home/apt",1,2,4,2,287,18,5,5,5,0,0,1,1,8.92644778046962,190
"Dakota","Entire home/apt",1,1,2,1,142,23,4.87,5,4.96,0,0,1,1,1.86293020169676,75
"Hennepin","Entire home/apt",1,1,2,2,40,115,4.96,4.98,4.93,1,0,1,2,2.94841927337327,86
"Ramsey","Entire home/apt",1,2,6,2,236,46,4.72,4.65,4.61,0,0,1,1,1.61481510233526,82
"Ramsey","Entire home/apt",1,1,3,1,110,46,4.33,4.37,4.35,0,1,1,4,4.42257812348697,77
"Washington","Entire home/apt",1,2,8,2,65,34,4.91,4.85,5,1,0,1,1,13.2745367857869,350
"Dakota","Entire home/apt",1,2,4,2,350,64,4.91,4.88,4.92,1,0,1,1,12.8517890409949,80
"Pierce","Entire home/apt",2,3,6,3,353,12,5,4.83,5,0,0,1,1,40.45202173614,162
"Ramsey","Entire home/apt",2,1,4,2,322,35,4.94,5,4.8,1,1,0,3,0.806148339778447,195
"Hennepin","Entire home/apt",1,2,7,3,42,17,4.82,4.76,4.88,0,0,1,5,1.66906103404578,135
"Hennepin","Entire home/apt",1,2,7,3,104,22,4.68,4.68,4.91,0,0,1,5,1.54674389170479,145
"Hennepin","Entire home/apt",2,4,10,7,364,6,5,5,5,0,0,1,3,9.50093439721092,200
"Hennepin","Entire home/apt",1,3,5,1,256,38,4.87,4.71,4.92,1,1,1,1,3.98108206292482,138
"Carver","Entire home/apt",3.5,6,12,3,301,11,5,5,5,0,1,1,1,18.7956346682097,1475
"Hennepin","Entire home/apt",1,1,3,3,242,67,4.94,4.81,4.93,1,1,1,1,2.56775756649532,95
"Hennepin","Entire home/apt",1,2,7,3,177,42,4.71,4.88,4.74,0,0,1,5,1.60716843907374,134
"Hennepin","Private room",1,1,2,1,308,17,4.47,4.94,4.82,0,1,1,2,1.13475767859737,172
"Hennepin","Entire home/apt",1,1,3,2,174,69,4.99,5,4.87,1,0,0,1,3.12706181397671,215
"Ramsey","Entire home/apt",2,3,6,3,277,29,4.97,5,4.93,1,0,1,1,4.04831009949496,194
"Hennepin","Entire home/apt",2,3,6,3,282,16,4.5,4.44,4.69,1,0,1,2,4.94797229911531,174
"Hennepin","Entire home/apt",2,3,6,2,348,47,4.87,4.94,4.89,1,0,0,1,7.61542776054628,180
"Hennepin","Entire home/apt",1,1,3,30,103,5,5,5,5,0,0,1,1,4.03650000552464,135
"Hennepin","Private room",1,1,2,1,245,10,4.8,5,4.8,0,1,1,2,1.04767997758655,183
"Carver","Entire home/apt",1,2,4,2,130,52,4.85,4.98,4.88,1,1,0,1,21.6151759484277,99
"Hennepin","Entire home/apt",1,1,3,1,163,84,4.81,4.76,4.88,1,1,1,2,2.08429385617755,101
"Ramsey","Entire home/apt",1,2,3,30,10,17,4.88,4.59,4.71,1,1,1,2,1.83728512846886,140
"Ramsey","Entire home/apt",1,1,4,2,341,29,5,5,5,1,1,0,3,0.777161225198917,185
"Ramsey","Entire home/apt",1,2,5,2,340,38,4.87,5,4.97,1,0,1,3,2.34026006403609,114
"Hennepin","Entire home/apt",1,2,4,2,127,73,4.92,4.75,4.92,1,0,1,3,1.75293050005586,99
"Wright","Entire home/apt",4,3,12,4,296,1,5,3,5,0,0,0,1,48.4935585385814,479
"Hennepin","Entire home/apt",1,1,2,3,350,71,4.77,4.75,4.83,1,0,1,1,1.92166669139261,81
"Hennepin","Private room",1,1,4,1,280,13,4.92,5,5,1,1,1,6,16.0611440314038,283
"Hennepin","Private room",1,1,4,1,246,14,4.71,5,5,1,1,1,6,16.0460885279781,283
"Hennepin","Private room",1,1,2,1,259,11,5,5,5,1,1,1,6,16.101044989276,283
"Dakota","Private room",1,1,1,1,315,3,4.67,5,5,0,1,1,4,13.4634867342155,66
"Ramsey","Entire home/apt",1,1,2,2,193,14,4.93,5,4.79,1,0,1,1,1.75764058219963,79
"Hennepin","Entire home/apt",3,4,8,1,362,9,4.78,4.89,4.89,1,0,1,91,3.75162651791508,225
"Hennepin","Entire home/apt",1,1,4,2,72,5,5,5,5,0,0,1,1,2.01347846014428,120
"Hennepin","Entire home/apt",1,2,4,2,354,57,4.46,4.33,4.7,0,1,1,4,3.50270911919463,82
"Hennepin","Entire home/apt",5,4,10,2,51,1,5,4,5,0,0,1,1,3.94663858118268,2700
"Wright","Entire home/apt",5.5,6,14,2,44,33,4.97,4.94,5,1,1,1,1,46.2911774673074,399
"Sherburne","Private room",3,4,16,2,46,5,4.4,4.2,4.4,0,0,0,2,41.0737751142479,550
"Hennepin","Entire home/apt",1.5,3,6,2,250,22,5,4.95,4.82,1,0,1,1,7.21680918695803,220
"Ramsey","Private room",3,1,1,1,356,8,4.5,4.25,4.5,1,0,1,64,4.08481373863461,37
"Hennepin","Entire home/apt",4,4,12,2,133,45,4.93,4.91,4.96,1,0,1,1,13.6715421450056,398
"Hennepin","Entire home/apt",1,1,4,1,365,20,4.85,4.9,4.55,1,0,1,6,4.08525567640335,67
"Sherburne","Entire home/apt",1,3,7,3,0,24,4.96,5,5,1,0,1,1,37.4446740408097,363
"Hennepin","Entire home/apt",4,8,16,2,340,2,5,5,5,1,0,1,5,1.32751482764381,644
"Hennepin","Entire home/apt",2,2,4,5,0,2,5,5,5,1,0,1,29,7.47533529852693,165
"Ramsey","Entire home/apt",1.5,3,5,1,347,46,4.85,4.96,4.83,1,1,1,4,2.99282792612574,127
"Anoka","Entire home/apt",3,5,10,2,303,101,4.92,4.84,4.93,1,0,1,1,14.7179805944462,246
"Carver","Entire home/apt",6,5,15,3,205,31,4.97,5,4.94,1,0,1,1,20.8213570004533,600
"Hennepin","Entire home/apt",1,2,4,2,339,24,4.83,5,4.83,0,1,1,29,3.88586605136466,130
"Hennepin","Entire home/apt",1,2,4,2,331,36,4.92,4.97,4.89,0,1,1,29,4.01506108100196,130
"Hennepin","Entire home/apt",3,5,12,2,325,46,4.91,4.96,4.87,1,0,1,6,1.20452293393435,450
"Ramsey","Entire home/apt",1.5,3,6,1,334,54,4.87,4.91,4.89,1,1,1,4,3.04445784691655,107
"Hennepin","Private room",1,1,2,1,0,55,4.98,5,4.96,1,0,1,2,5.75181637200179,75
"Ramsey","Private room",1,1,1,1,365,11,5,4.91,5,1,0,1,64,1.78714877062746,27
"Pierce","Entire home/apt",3,4,8,2,305,56,4.98,5,4.96,1,1,1,1,38.562394174861,450
"Hennepin","Private room",1,2,6,2,0,19,4.95,4.95,4.95,1,0,1,2,5.65134089076755,85
"Hennepin","Entire home/apt",1,2,4,30,365,2,5,5,5,0,0,0,7,1.80130507445719,129
"Hennepin","Entire home/apt",2,3,6,2,161,90,4.97,4.91,4.93,0,0,1,2,2.83605453966515,165
"Hennepin","Entire home/apt",2,4,10,2,313,20,5,5,4.95,1,1,1,5,1.34561158487755,258
"Ramsey","Entire home/apt",1,2,4,1,359,50,4.54,4.58,4.8,0,0,0,2,2.61673987866362,110
"Hennepin","Entire home/apt",1,1,4,1,365,31,5,5,4.81,0,0,1,1,4.21475587907872,64
"Dakota","Entire home/apt",1,2,8,2,328,71,4.79,4.62,4.8,0,0,1,1,4.91714408403865,120
"Dakota","Entire home/apt",1,2,4,1,116,7,5,4.43,5,1,0,1,9,18.7441313146693,106
"Ramsey","Entire home/apt",1,2,5,2,347,61,4.89,4.95,4.9,1,0,1,3,2.344738279058,106
"Sibley","Entire home/apt",1,2,6,3,184,31,4.97,5,4.9,1,0,1,2,44.7301923741756,149
"Hennepin","Entire home/apt",1,1,2,2,110,83,4.9,4.93,4.86,1,1,1,1,2.78705455243603,89
"Hennepin","Entire home/apt",1,1,2,4,352,99,4.98,4.97,4.96,1,0,1,3,2.68199243265685,69
"Hennepin","Entire home/apt",1,2,4,28,0,5,4.8,4.8,5,1,0,1,3,1.36898535581167,214
"Hennepin","Entire home/apt",1,2,6,28,0,17,4.47,4.76,4.71,1,0,1,3,1.34709144982557,212
"Hennepin","Entire home/apt",1,3,8,1,353,30,4.9,4.9,4.73,1,0,1,1,1.36631293437653,147
"Ramsey","Entire home/apt",1,2,5,1,70,81,4.88,4.84,4.88,1,0,1,12,6.51895340605703,90
"Ramsey","Entire home/apt",1,2,4,2,120,99,4.99,5,4.9,1,0,1,1,2.57421959079558,121
"Hennepin","Entire home/apt",1,2,4,2,20,61,4.97,4.89,4.89,1,0,1,1,1.81767409751476,57
"Ramsey","Entire home/apt",2,2,4,100,178,3,5,5,5,0,0,1,9,0.036610566066385,199
"St. Croix","Entire home/apt",5,7,14,3,252,42,4.81,4.38,4.86,1,0,1,1,35.3564747095001,562
"Isanti","Entire home/apt",1,2,4,1,349,21,4.86,4.86,4.9,1,1,1,4,40.9518712854745,174
"Hennepin","Entire home/apt",1,2,5,1,361,18,4.61,5,4.17,0,0,1,2,1.79930346680052,118
"Hennepin","Entire home/apt",1,1,2,1,351,8,5,5,5,1,0,1,64,3.16027477248777,42
"Hennepin","Entire home/apt",1,1,4,3,185,31,5,5,4.97,1,0,1,1,4.88813996880747,80
"Isanti","Entire home/apt",1,5,8,3,345,13,4.69,4.77,4.85,0,1,1,29,42.7396848861193,315
"Hennepin","Entire home/apt",2,2,4,30,197,4,5,4.75,5,0,0,1,1,4.61047796169683,225
"Hennepin","Entire home/apt",2,3,6,3,229,41,4.95,4.88,4.98,1,1,0,2,3.59356815364743,161
"Washington","Private room",1.5,1,2,1,160,113,4.78,4.7,4.88,1,0,1,2,10.3814924157946,43
"Washington","Entire home/apt",2.5,3,6,28,304,1,5,4,5,1,0,1,2,16.4065513768919,295
"Hennepin","Private room",1,1,2,1,365,29,4.86,4.9,4.41,0,0,0,2,3.33708144550704,65
"Ramsey","Entire home/apt",1,2,4,31,0,3,4.67,4.67,4.67,0,0,1,1,3.54214041293253,136
"Ramsey","Entire home/apt",2.5,5,9,3,307,58,4.66,4.55,4.93,0,0,1,2,9.27713313208094,128
"Hennepin","Entire home/apt",1,1,4,3,259,86,4.98,4.97,4.78,1,0,1,2,1.74126982036322,100
"Washington","Private room",1.5,1,2,1,174,102,4.91,4.84,4.91,1,0,1,2,10.5466205580258,40
"Ramsey","Entire home/apt",1,2,4,1,294,118,4.98,4.99,4.89,1,0,0,1,1.39969349545935,98
"Hennepin","Entire home/apt",1,1,4,1,342,77,4.95,4.97,4.96,1,0,1,1,3.58941726214438,81
"Ramsey","Entire home/apt",3,5,16,3,301,44,5,5,4.98,1,0,1,4,4.39395542337426,231
"Ramsey","Entire home/apt",1,2,4,1,292,49,4.94,4.96,5,1,0,1,1,4.00864665306541,125
"Hennepin","Entire home/apt",1,2,4,2,356,16,5,4.94,4.81,0,0,1,1,3.11242130588385,80
"Mille Lacs","Entire home/apt",1.5,4,11,1,299,79,4.89,4.94,4.8,1,0,1,1,78.5174014776348,150
"Hennepin","Entire home/apt",1,1,5,2,96,62,4.56,4.34,4.69,0,1,0,1,4.92111073719249,50
"Anoka","Entire home/apt",1,1,2,2,75,10,5,5,4.9,0,0,1,1,23.7029462194504,115
"Hennepin","Private room",1,1,2,2,0,24,4.88,4.75,4.96,1,1,1,4,7.80122817425397,35
"Ramsey","Entire home/apt",1,2,3,5,119,9,4.22,3.67,4.56,0,0,1,4,4.07981226269411,95
"Hennepin","Entire home/apt",2.5,4,10,4,183,36,4.86,4.86,4.92,1,1,1,1,2.15516189721234,279
"Hennepin","Entire home/apt",1,1,2,1,0,100,4.93,4.92,4.83,1,0,1,1,7.70691124256056,75
"Hennepin","Entire home/apt",1,2,3,2,87,84,4.99,4.96,4.99,1,1,1,1,4.99017069706396,105
"Isanti","Entire home/apt",1,4,7,2,280,28,4.79,4.82,5,1,1,1,4,41.0225503336011,224
"Hennepin","Entire home/apt",1,1,4,2,321,59,4.86,4.95,4.88,1,0,1,2,1.8093827229639,149
"Hennepin","Private room",1,1,2,1,364,1,5,5,5,0,0,1,1,12.1131872689659,135
"Hennepin","Entire home/apt",1,3,8,3,202,15,4.93,4.87,5,1,1,1,2,3.3172073610854,175
"Hennepin","Entire home/apt",2,3,8,2,268,33,4.58,4.52,4.79,0,0,1,2,5.28579795923941,106
"Wright","Private room",1,2,4,2,49,3,4.33,4.33,5,0,0,1,2,34.9793927504721,30
"Hennepin","Entire home/apt",2,2,4,3,0,5,4.6,5,5,1,0,1,91,4.04253732113826,945
"Hennepin","Entire home/apt",1,1,2,30,231,7,5,5,5,1,1,1,3,0.74856530131419,66
"Ramsey","Private room",1,1,2,1,22,22,4.86,4.95,4.91,0,0,1,1,2.12678227930216,50
"Hennepin","Entire home/apt",1,3,8,28,26,7,4.86,4.71,5,0,0,1,13,4.87382885234699,239
"Hennepin","Entire home/apt",1,2,6,2,341,76,4.96,4.95,4.96,1,0,0,1,2.43394685449267,132
"Anoka","Private room",2,1,2,1,364,63,4.9,4.95,4.89,1,0,1,5,4.46567495395334,40
"Hennepin","Entire home/apt",1,2,4,5,21,13,5,5,5,1,0,1,3,13.623136445117,70
"Hennepin","Entire home/apt",1,1,4,30,169,60,4.7,4.75,4.6,1,0,1,1,0.857715686737041,101
"Hennepin","Entire home/apt",2,4,8,3,157,36,4.83,4.64,4.89,1,0,1,1,5.44054377320577,249
"Washington","Entire home/apt",3,4,12,2,155,29,5,4.97,5,1,0,1,1,27.0596768894061,556
"Hennepin","Private room",1,1,2,1,265,72,4.99,4.99,4.99,1,0,0,1,8.17556070932098,75
"Hennepin","Entire home/apt",1,4,6,28,26,6,5,4.67,5,0,0,1,13,1.65456327492463,139
"Hennepin","Entire home/apt",2,2,5,28,17,19,4.79,4.79,4.79,0,0,1,1,0.848302217054951,275
"Hennepin","Private room",1,1,1,1,172,63,4.84,4.84,4.92,1,1,1,3,3.38780370759426,42
"Ramsey","Entire home/apt",1,1,4,1,346,14,4.5,4.21,4.43,0,0,1,4,1.67163310440502,61
"Hennepin","Entire home/apt",1,2,6,2,0,41,4.88,4.9,4.78,1,0,1,1,1.55854450709336,160
"Ramsey","Entire home/apt",1,1,4,4,18,12,5,4.83,4.83,1,0,1,1,3.63431467551095,60
"Chisago","Private room",1,1,2,2,118,68,4.99,5,5,1,0,1,1,40.7606191964206,68
"Anoka","Private room",2,1,2,1,0,35,4.8,4.8,4.71,1,0,1,5,4.55262136421199,43
"Washington","Entire home/apt",1,1,3,2,38,14,5,5,4.86,0,0,1,1,15.5264386844802,112
"Hennepin","Private room",1,1,2,4,135,15,4.87,4.67,4.8,1,0,1,1,3.5000362522282,40
"Hennepin","Entire home/apt",1,2,4,1,17,34,4.85,4.76,4.82,1,1,1,3,11.0178888389379,85
"Hennepin","Entire home/apt",1.5,2,5,1,0,53,4.83,4.89,4.92,1,0,0,1,5.11650163317148,114
"Hennepin","Entire home/apt",1,1,4,2,0,7,4.86,5,4.86,0,1,1,1,4.15451331195601,100
"Wright","Entire home/apt",0.5,1,3,1,179,7,4.57,4.86,4.71,0,0,1,1,33.8429896160705,100
"Anoka","Private room",2,1,2,1,122,35,4.83,4.8,4.69,1,0,1,5,4.46164588051051,38
"Sherburne","Private room",1,1,4,1,0,28,5,4.96,4.82,1,0,1,2,53.3330626886264,86
"Hennepin","Entire home/apt",2,3,6,30,158,3,5,5,5,1,1,1,7,1.37311903869583,149
"Hennepin","Entire home/apt",1,2,4,1,34,135,4.85,4.86,4.88,1,0,1,2,2.92110969937943,114
"Hennepin","Entire home/apt",1,1,3,2,230,57,4.95,5,4.93,1,0,0,1,2.78873233777419,74
"Hennepin","Entire home/apt",1,1,4,1,347,27,4.85,4.93,4.93,1,0,1,91,1.40802490285162,118
"Hennepin","Entire home/apt",1,2,4,2,350,27,4.78,4.85,4.96,0,1,1,29,5.47416829820364,127
"Anoka","Private room",2,1,2,1,66,32,4.75,4.72,4.78,1,0,1,5,4.44973419978896,43
"Isanti","Entire home/apt",3,3,12,2,247,33,4.94,4.94,4.94,0,0,1,1,41.7406365056659,175
"Washington","Entire home/apt",1,2,5,2,0,14,5,5,5,1,0,0,2,22.3583440487,396
"Dakota","Entire home/apt",3,4,12,4,279,25,4.68,4.56,4.92,0,1,1,2,12.0151892051406,239
"St. Croix","Entire home/apt",1,1,4,1,316,22,5,4.95,4.73,1,0,0,1,16.4476326732091,214
"Hennepin","Entire home/apt",2,3,8,3,128,47,4.91,4.94,4.94,1,1,1,2,3.25013500299505,225
"Hennepin","Private room",1,1,2,30,124,2,5,4.5,4.5,1,0,1,4,14.6911032584846,34
"Ramsey","Entire home/apt",1,2,4,30,274,18,4.94,4.89,5,1,0,1,2,3.6345645757781,88
"St. Croix","Entire home/apt",1,1,2,2,352,6,5,5,5,0,0,1,1,23.9632092948369,80
"Mille Lacs","Entire home/apt",2,4,10,2,286,10,5,5,5,1,1,0,7,80.8543036486886,246
"Ramsey","Entire home/apt",2,4,10,2,51,10,3.8,3.5,4.3,0,0,1,3,6.0254599767212,262
"Ramsey","Entire home/apt",2,2,5,1,283,132,4.96,4.94,4.95,1,0,1,5,4.35887116056315,111
"Sherburne","Entire home/apt",1,1,3,1,51,19,4.89,5,4.95,1,0,1,1,46.9785656560158,65
"Ramsey","Private room",1,1,1,2,0,2,4.5,3.5,5,0,1,1,4,3.01583387661146,25
"Hennepin","Entire home/apt",1,1,4,2,74,21,4.9,5,4.95,0,1,1,1,3.11144507109689,110
"Hennepin","Entire home/apt",1,3,6,2,266,26,4.92,5,5,0,0,1,1,4.78658524657709,193
"Anoka","Private room",2,1,1,1,0,12,5,5,4.92,1,0,1,5,4.44626084728672,49
"Washington","Entire home/apt",3.5,4,8,2,79,9,5,4.89,5,0,1,1,1,22.6442088166416,347
"Hennepin","Entire home/apt",1,2,4,1,303,64,4.97,4.91,5,1,1,1,3,16.1313064368975,186
"Anoka","Private room",2,1,2,1,245,13,5,5,4.92,1,0,0,5,24.5553316060668,36
"Hennepin","Entire home/apt",1,1,2,31,0,1,5,5,5,0,0,1,1,2.33970365662946,82
"Hennepin","Entire home/apt",3.5,4,10,2,330,10,4.6,4.3,4.8,0,1,1,29,2.49701068913121,639
"Hennepin","Entire home/apt",1,1,2,1,0,2,3,2,3.5,0,0,1,1,12.8141857191059,200
"Dakota","Private room",1.5,1,2,1,360,8,4.5,4.38,4.75,0,0,1,4,13.3972892595142,34
"Hennepin","Entire home/apt",1,3,8,2,270,69,4.86,4.93,4.88,1,0,1,1,2.09679056151127,152
"Hennepin","Private room",1,1,1,3,90,18,4.72,4.83,4.83,1,0,1,4,6.21442636254804,39
"Anoka","Private room",2,1,2,1,265,14,4.93,4.93,4.93,1,0,0,5,24.6689637150182,36
"Anoka","Private room",2,1,2,1,365,18,4.94,4.72,4.83,1,0,0,5,24.5582756507454,36
"Hennepin","Entire home/apt",2,4,10,2,228,69,4.67,4.77,4.7,0,0,1,18,6.25901740592248,124
"Hennepin","Entire home/apt",1,2,4,1,342,5,4.8,5,4.8,0,0,1,2,3.13303050330176,90
"Hennepin","Private room",1,1,2,1,216,52,4.9,4.98,4.96,1,0,1,1,6.80753242810796,61
"Hennepin","Private room",1,1,1,3,90,19,4.89,5,4.95,1,0,1,4,6.21442636254804,39
"Hennepin","Private room",1,1,2,3,161,25,4.88,5,4.8,1,0,1,4,6.20673024038971,45
"Washington","Entire home/apt",1,1,2,5,0,3,5,4.67,5,0,0,1,5,8.15867267919045,149
"Washington","Private room",1,1,4,1,89,5,5,5,4.8,0,0,1,1,14.7166634252408,195
"Ramsey","Entire home/apt",1,1,2,1,322,36,4.81,4.75,4.83,1,0,1,1,9.03530289787407,125
"Hennepin","Entire home/apt",1,1,2,5,73,26,4.96,5,5,1,0,0,1,11.5167435604419,65
"Ramsey","Entire home/apt",2,2,4,2,37,56,4.91,4.91,4.93,1,1,1,1,1.25457504294732,130
"Sherburne","Entire home/apt",1,3,9,2,359,8,4.38,4.63,4.88,0,0,0,1,37.4218692969763,284
"Hennepin","Entire home/apt",1,1,2,2,146,51,4.67,4.75,4.67,0,0,1,16,0.589154178031504,66
"Hennepin","Entire home/apt",1,1,4,1,51,88,4.98,4.99,4.95,1,0,1,1,3.00033470150895,81
"Scott","Entire home/apt",3.5,4,8,1,205,8,4.38,4.5,4.75,1,0,1,91,20.7160606628225,302
"Hennepin","Entire home/apt",2,5,10,3,2,10,4.9,4.9,5,1,0,1,2,2.24596485917741,499
"Ramsey","Private room",1,2,5,3,148,42,4.86,4.98,4.83,1,0,0,1,8.06304177316107,75
"Hennepin","Entire home/apt",1,1,4,2,356,73,4.66,4.81,4.77,0,0,1,38,0.53888617252887,120
"Hennepin","Entire home/apt",1,4,4,2,122,26,5,4.92,5,1,0,1,1,2.77680989885661,200
"Hennepin","Entire home/apt",2,3,6,3,229,25,4.76,4.56,4.8,1,0,1,4,4.12265256591725,157
"Carver","Entire home/apt",1,1,2,2,86,30,5,5,5,1,1,1,1,32.6330187733825,144
"Scott","Private room",2.5,3,6,2,31,5,4.2,4.6,4.2,0,0,0,1,17.0747492064171,84
"Hennepin","Entire home/apt",2.5,4,8,2,352,15,4.47,4.53,4.6,0,0,1,1,9.87885183809499,275
"Ramsey","Entire home/apt",3.5,4,16,3,328,85,4.98,4.98,4.86,1,0,1,4,3.85347448792318,183
"Ramsey","Entire home/apt",1,2,3,2,168,59,4.73,4.53,4.9,0,1,1,4,2.9172294225502,81
"Hennepin","Entire home/apt",2,2,4,21,0,1,5,5,5,1,0,1,29,7.35723974888458,129
"Ramsey","Entire home/apt",1,2,6,1,127,27,4.96,4.96,4.96,1,0,0,1,1.17926754528614,89
"Hennepin","Entire home/apt",1,1,4,2,176,29,4.97,4.83,4.9,1,0,1,8,1.87060907443018,64
"Hennepin","Entire home/apt",1,1,4,2,172,11,5,5,4.82,1,0,1,8,1.79817354502204,65
"Hennepin","Entire home/apt",1,1,2,2,152,17,5,4.94,4.82,1,0,1,8,1.89714456757009,65
"Hennepin","Entire home/apt",1.5,2,6,1,322,52,4.85,4.63,4.94,0,0,1,1,5.05616719617257,122
"Ramsey","Entire home/apt",1,1,2,1,356,34,5,5,5,1,0,1,1,5.12178833319584,125
"Hennepin","Entire home/apt",1,1,2,1,69,71,4.9,4.94,4.9,1,0,1,12,5.19357495702606,70
"Hennepin","Entire home/apt",1,3,7,2,277,13,4.85,4.77,4.92,1,1,1,1,6.66507527150461,99
"Hennepin","Entire home/apt",1,1,3,1,140,26,4.92,4.92,4.92,1,0,0,1,2.67579729166593,96
"St. Croix","Entire home/apt",1,1,3,1,137,66,4.73,4.7,4.94,0,1,0,1,19.4925569787949,48
"Mille Lacs","Shared room",0,1,16,1,365,1,5,5,5,0,1,1,1,77.22939220226,69
"Ramsey","Entire home/apt",1,3,5,1,156,68,4.94,4.94,4.94,1,0,1,2,5.14353190585333,135
"Le Sueur","Entire home/apt",7,10,16,3,221,15,4.87,4.6,4.8,1,0,0,1,57.0390224684029,899
"Anoka","Entire home/apt",2.5,4,10,3,239,37,5,4.95,4.97,1,0,1,1,14.5649651170779,286
"Hennepin","Entire home/apt",3.5,5,10,2,9,23,4.91,4.91,5,0,0,1,1,5.83723528017271,344
"Washington","Entire home/apt",3,4,6,4,354,10,4.4,4.1,5,0,1,0,1,7.25524256821229,175
"Hennepin","Entire home/apt",1,1,2,2,59,15,4.73,4.8,4.67,0,0,1,16,0.66185846848078,78
"Ramsey","Entire home/apt",1,2,4,3,47,44,4.98,4.89,5,1,0,1,2,3.54041180196637,131
"Chisago","Entire home/apt",4,4,10,2,268,37,4.97,4.97,5,1,0,1,3,30.1926930625,411
"Hennepin","Entire home/apt",1,3,5,28,89,7,3.71,3.86,4,0,0,1,13,1.70246969909828,118
"Hennepin","Entire home/apt",1,1,3,2,111,55,4.73,4.82,4.8,0,1,1,1,1.9727709620017,63
"Hennepin","Entire home/apt",1,1,3,1,0,9,5,4.89,5,0,0,1,1,2.14897828358039,125
"Hennepin","Entire home/apt",1,2,5,7,84,5,5,5,4.8,1,0,1,11,5.69282356982995,115
"Ramsey","Private room",2,1,4,2,365,20,4.7,4.6,4.9,1,0,1,5,1.97790453163081,49
"Hennepin","Entire home/apt",1,1,2,2,198,58,4.95,4.91,4.69,1,0,1,5,1.80824425210029,86
"Chisago","Entire home/apt",2,4,8,2,283,31,4.97,4.87,4.87,0,0,0,1,34.9032009175643,225
"Hennepin","Entire home/apt",1,3,9,2,169,34,4.97,5,4.97,1,0,1,1,3.37326446024838,158
"Isanti","Entire home/apt",1,1,2,2,90,8,4.88,4.75,4.75,0,0,0,1,43.7947223931916,245
"Ramsey","Entire home/apt",1,2,4,1,321,34,4.56,4.68,4.62,0,1,1,4,1.81450446370627,179
"Hennepin","Entire home/apt",2,3,7,3,0,73,4.99,4.96,4.96,1,0,0,1,4.95682578601313,239
"Hennepin","Entire home/apt",1,1,3,1,60,35,4.97,4.89,5,1,0,1,1,1.72346419972425,132
"Scott","Entire home/apt",1,2,4,30,81,13,5,5,4.92,0,0,1,1,17.2307057096437,89
"Ramsey","Entire home/apt",1,3,8,1,120,61,4.82,4.8,4.87,1,0,1,1,1.05458312850356,110
"Ramsey","Entire home/apt",1,1,5,1,359,28,4.82,4.82,4.82,1,0,1,5,2.0188957987299,99
"Ramsey","Private room",2,1,4,2,365,14,5,4.71,4.93,1,0,1,5,3.54130951526591,49
"Ramsey","Private room",2,1,3,2,365,3,4,3.67,4.33,1,0,1,5,2.01514553050309,49
"Ramsey","Private room",2,1,2,2,365,14,4.79,4.29,4.79,1,0,1,5,1.89717346270996,49
"Hennepin","Entire home/apt",1,1,2,1,340,52,4.96,5,5,1,1,1,3,16.1270436861591,146
"Ramsey","Entire home/apt",1,1,2,1,326,37,4.68,4.95,4.81,0,1,1,4,1.86439836511898,45
"Hennepin","Entire home/apt",1,2,6,30,208,5,4.6,4.6,4.4,1,0,1,1,1.79932226856404,192
"Wright","Entire home/apt",1,2,5,2,240,82,4.95,4.83,4.96,1,0,0,2,39.5151987039785,121
"Pierce","Entire home/apt",6,6,16,1,293,5,5,5,5,0,0,1,15,19.898856707214,757
"Hennepin","Entire home/apt",1.5,4,8,2,126,3,3.67,3.67,3.67,1,1,1,13,1.04060263171891,189
"Hennepin","Entire home/apt",1,1,2,30,0,2,5,5,5,1,0,1,29,12.3813096881486,99
"Sherburne","Private room",2,1,2,1,1,4,4.75,4.25,4.5,0,0,0,5,28.0654970261286,50
"Ramsey","Private room",1,1,1,7,180,12,4.92,5,4.92,0,0,1,5,4.09184917261052,32
"Hennepin","Entire home/apt",1,2,5,2,317,48,4.96,5,4.98,1,1,1,1,3.08543615626002,230
"Hennepin","Entire home/apt",2,4,10,2,118,44,4.98,5,4.89,1,0,1,1,7.48399589853482,207
"Dakota","Entire home/apt",1,1,2,2,362,26,4.88,5,4.96,1,0,0,2,5.43487164159125,95
"Ramsey","Entire home/apt",3.5,5,10,3,85,40,5,5,5,1,0,1,1,1.08959293561666,329
"Hennepin","Entire home/apt",1,1,4,1,96,38,4.76,4.71,4.84,0,1,1,2,7.26148712038709,107
"Sherburne","Private room",2,1,1,20,314,1,4,4,3,1,1,1,24,58.063023779119,42
"Sherburne","Private room",2,1,1,14,314,2,5,5,5,1,1,1,24,58.1289325431587,42
"Sherburne","Private room",2,1,1,14,322,2,5,5,4.5,1,1,1,24,58.1047901918943,42
"Ramsey","Private room",1,1,2,1,365,14,4.64,4.93,4.79,0,1,1,3,7.37852797936301,65
"Hennepin","Entire home/apt",2,4,10,3,299,15,5,4.93,5,0,1,1,2,16.3619033999782,199
"Ramsey","Entire home/apt",1,1,2,2,364,3,5,4.67,5,0,0,1,3,2.23154266491734,60
"Ramsey","Entire home/apt",2,5,8,2,181,8,5,5,5,1,0,1,2,1.10493819016352,293
